n,T(n)
293,0.03655
293,0.035287
293,0.040982
294,0.034117
294,0.034558
294,0.033676
294,0.035492
294,0.034704
295,0.034347
295,0.033935
295,0.033373
295,0.033798
295,0.035436
296,0.034232
296,0.032951
296,0.037358
296,0.036125
296,0.032271
297,0.034777
297,0.036116
297,0.033463
297,0.032603
297,0.035642
298,0.035326
298,0.037493
298,0.034673
298,0.034372
298,0.03657
299,0.035859
299,0.032916
299,0.03482
299,0.047795
299,0.032859
300,0.035791
300,0.035879
300,0.035446
300,0.035402
300,0.033951
