n,T(n)
216,16.968642
216,4.39013
217,62.731447
217,3.281677
217,64.033944
217,1.001374
217,131.969296
218,105.994468
218,41.569269
218,3.143087
218,5.474513
218,3.923474
219,20.905378
219,78.112339
219,2.471809
219,335.550596
219,22.76554
220,50.128117
220,1.485834
220,105.220538
220,1.353674
220,2.968123
221,47.172627
221,9.468319
221,96.503319
221,1.042197
221,82.18789
222,224.316913
222,18.487711
222,15.915652
222,129.327781
222,6.231098
223,4.935941
223,89.471173
223,13.842348
223,14.907038
223,55.257104
224,4.575059
224,12.360483
224,36.650089
224,1.602303
224,3.4007
225,5.767061
225,34.527571
225,89.255489
225,1.899414
225,4.461705
226,13.449859
226,34.409462
226,92.26153
226,1.467907
226,271.382274
227,242.588004
227,36.188118
227,2.519286
227,313.844877
227,64.605395
228,34.07428
228,142.52973
228,19.710908
228,20.630062
228,5.481321
229,16.716119
229,84.970945
229,5.522395
229,18.680367
229,14.721667
230,98.020914
230,2.965227
230,13.429526
230,4.752301
230,16.555429
231,529.020429
231,30.287669
231,22.885885
231,383.049839
231,107.188591
232,10.39063
232,7.698051
232,48.440599
232,43.10005
232,26.803202
233,6.46046
233,15.469735
233,5.272907
233,162.034007
233,14.198538
234,9.521265
234,70.727415
234,1.857968
234,13.2769
234,3417.231061
235,4.761987
235,229.194122
235,5.608824
235,65.07665
235,36.758518
236,39.650985
236,12.787459
236,6.541338
236,30.307082
236,65.877968
237,21.285819
237,2.062675
237,83.772393
237,2.936353
237,89.548935
238,47.014668
238,0.664628
238,17.850599
238,71.362865
238,104.347075
239,2.70518
239,12.19041
239,211.152496
239,33.85901
239,12.025734
240,21.968699
240,7.430594
240,61.52633
240,92.059419
240,59.033228
241,172.543251
241,544.47225
241,44.049294
241,304.288554
241,300.513869
242,115.568529
242,36.071927
242,0.82631
242,7.443363
242,758.5726
243,26.335863
243,5.442079
243,90.977529
243,7.43575
243,8.036183
244,10.762907
244,20.349612
244,48.219153
244,36.453313
244,0.798416
245,341.270843
245,5.980206
245,53.02565
245,18.904163
245,18.787605
246,2.114408
246,3342.552694
246,146.942194
246,20.629927
246,92.525597
247,44.010015
247,172.20073
247,26.768871
247,135.744882
247,105.59118
248,19.385755
248,25.569173
248,8.807522
248,61.114079
248,215.690618
249,16.057993
249,40.265105
249,6.010318
249,6.5959
249,132.594918
250,83.337549
250,185.49901
250,2.25655
250,42.226329
250,48.07309
251,7.962361
251,387.40713
251,8.877104
251,17.102747
251,67.168644
252,24.275547
252,49.337949
252,19.034678
252,38.170305
252,1408.410206
253,66.752642
253,10.543862
253,19.858343
253,11.115088
253,205.457026
254,14.13094
254,191.777721
254,4.873087
254,49.367485
254,95.150845
255,36.856556
255,65.578923
255,1597.842473
255,282.988616
255,13.57209
256,37.385412
256,64.133159
256,224.899636
256,44.02807
256,33.436205
257,1.524295
257,9.435572
257,91.994304
257,563.291268
257,21.570042
258,37.738458
258,629.700926
258,34.158863
258,61.84493
258,60.731259
259,110.309014
259,20.75625
259,2.235547
259,37.27277
259,11.026231
260,121.327826
260,229.50049
260,92.78403
260,19.76512
260,11.832236
261,70.394154
261,393.076979
261,91.570206
261,65.34359
261,133.914761
262,32.7725
262,647.767336
262,74.441011
262,41.487567
262,18.587376
263,12.094006
263,7.967454
263,112.956209
263,34.395617
263,511.375933
264,47.351203
264,4937.581586
264,6.873921
264,10.602595
264,229.80114
265,38.496164
265,121.464618
265,71.930399
265,556.146992
265,40.216895
266,1563.337565
266,17.853093
266,19.318897
266,168.084628
266,4.180461
267,89.207368
267,158.127845
267,338.120998
267,266.760897
267,54.089742
268,74.675914
268,197.193538
268,10.857626
268,768.909525
268,379.215803
269,98.354593
269,257.061143
269,280.515811
269,96.739911
269,27.026378
270,3796.871042
270,201.146202
270,506.10564
270,70.942354
270,130.960226
271,5083.720154
271,129.917586
271,210.106564
271,245.382101
271,3172.494936
272,72.559991
272,8.589043
272,62.438132
272,430.234947
272,4.968875
273,178.604837
273,8.420621
273,8.226534
273,258.432305
273,311.711828
274,1440.111111
274,177.802047
274,13.189933
274,56.793389
274,459.831154
275,205.954889
275,40.069551
275,10.532527
275,415.457112
275,46.241446
276,822.620523
276,143.804834
276,325.195451
276,267.095019
276,26.840741
277,24.058036
277,4.121868
277,118.42726
277,245.52763
277,6.281741
278,22.01513
278,111.033851
278,3.606631
278,23.599052
278,294.778783
279,237.681044
279,217.091905
279,99.543401
279,975.053817
279,259.065975
280,7.785215
280,514.564947
280,155.672453
280,11.23338
280,60.240625
281,22.443618
281,10.931243
281,53.939658
281,24.121012
281,46.334858
282,50.958756
282,23.625703
282,607.517347
282,296.122321
282,45.01973
283,826.751175
283,33.758839
283,110.129101
283,100.305501
283,1789.235719
284,67.15664
284,67.014241
284,55.624006
284,244.674406
